,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
3739,MSPL,4.0,(125 Reviews),Private,Hosapete + 21 more,61 years old,1k-5k Employees (India)
3740,Poorvika Mobiles,4.3,(125 Reviews),"Chennai,Tamil Nadu + 21 more",18 years old,501-1k Employees (India),
3741,Special Technica...,4.1,(125 Reviews),Muscat + 6 more,42 years old,201-500 Employees (India),
3742,Pratibha Syntex,4.2,(125 Reviews),Indore + 6 more,25 years old,501-1k Employees (India),
3743,Applus Velosi,3.8,(125 Reviews),Private,Abu Dhabi + 14 more,40 years old,501-1k Employees (India)
3744,Tuaman Engineeri...,4.0,(125 Reviews),Private,"Kolkata,West Bengal + 11 more",17 years old,501-1k Employees (India)
3745,Freyr Solutions,4.1,(125 Reviews),"Princeton,New Jersey",15 years old,501-1k Employees (India),
3746,Gopal Snacks,3.8,(125 Reviews),"Rajkot,Gujarat + 24 more",28 years old,201-500 Employees (India),
3747,Louis Dreyfus Co...,4.2,(125 Reviews),Private,"Rotterdam,South Holland + 11 more",25 years old,501-1k Employees (India)
3748,PARAGON POLYMER ...,4.2,(125 Reviews),Kottayam + 26 more,47 years old,1k-5k Employees (India),
3749,MAFIL,4.0,(125 Reviews),Hyderabad/Secunderabad + 61 more,51-200 Employees (India),,
3750,Teleindia Networ...,3.9,(125 Reviews),"Bangalore/Bengaluru,Karnataka + 14 more",16 years old,51-200 Employees (India),
3751,Star Wire India,3.9,(125 Reviews),Private,"Faridabad,Haryana + 5 more",41 years old,501-1k Employees (India)
3752,NTL Electronics ...,4.0,(125 Reviews),Private,"Noida,Uttar Pradesh + 10 more",29 years old,201-500 Employees (India)
3753,Systopic Laborat...,4.7,(125 Reviews),Private,"Delhi/NCR,Delhi + 32 more",40 years old,501-1k Employees (India)
3754,JoulestoWatts Bu...,3.0,(125 Reviews),"Bangalore,Karnataka + 11 more",7 years old,51-200 Employees (India),
3755,Tbea Energy,4.1,(125 Reviews),Private,"Karjan,Gujrat + 12 more",12 years old,201-500 Employees (India)
3756,Glocal Healthcar...,3.5,(125 Reviews),"Kolkata,West Bengal + 13 more",12 years old,51-200 Employees (India),
3757,Central Institut...,4.1,(125 Reviews),Private,"Dhanbad,Jharkhand + 8 more",15 years old,501-1k Employees (India)
3758,Annexmed,3.9,(125 Reviews),Private,"Chennai,Tamil Nadu + 2 more",18 years old,201-500 Employees (India)
3759,Dvara KGFS,4.1,(125 Reviews),"Chennai,Tamil Nadu + 23 more",14 years old,1k-5k Employees (India),
3760,Publicis,3.9,(1.7k Reviews),Private,Paris + 8 more,96 years old,11-50 Employees (India)
3761,Aditya Birla Nuv...,4.2,(905 Reviews),Public,"Mumbai,Maharashtra + 27 more",75 years old,5k-10k Employees (India)
3762,Li & Fung,4.5,(135 Reviews),Private,Kowloon + 7 more,116 years old,501-1k Employees (India)
3763,Schott Kaisha,3.6,(124 Reviews),Private,Mumbai + 8 more,32 years old,1k-5k Employees (India)
3764,Cashpor Micro Cr...,3.8,(124 Reviews),Varanasi + 23 more,20 years old,1k-5k Employees (India),
3765,Netenrich Techno...,3.8,(124 Reviews),"San Jose,California + 4 more",18 years old,501-1k Employees (India),
3766,TMEIC,4.0,(124 Reviews),Private,"Salem,VA + 6 more",201-500 Employees (India),
3767,Alchemist Hospit...,4.4,(124 Reviews),Private,"Panchkula,Haryana + 13 more",28 years old,51-200 Employees (India)
3768,InfoBeans,3.9,(124 Reviews),Public,"Indore,Madhya Pradesh + 3 more",22 years old,1k-5k Employees (India)
3769,Hyva,3.4,(124 Reviews),Mumbai + 10 more,43 years old,501-1k Employees (India),
3770,Precision Camsha...,2.9,(124 Reviews),Public,"Solapur,Maharashtra + 1 more",30 years old,201-500 Employees (India)
3771,Autocop India,3.6,(124 Reviews),Private,Mumbai + 28 more,33 years old,201-500 Employees (India)
3772,Synthite Industr...,4.2,(124 Reviews),Private,"Ernakulam,Kerala + 15 more",50 years old,1k-5k Employees (India)
3773,IQ BackOffice,3.8,(124 Reviews),"El Segundo,California + 1 more",20 years old,201-500 Employees (India),
3774,Barmalt Malting,3.7,(124 Reviews),"Gurgaon/Gurugram,Haryana + 5 more",55 years old,201-500 Employees (India),
3775,Grab A Grub Serv...,4.3,(124 Reviews),Private,Mumbai + 39 more,9 years old,51-200 Employees (India)
3776,OneAssist Consum...,4.1,(124 Reviews),Private,"Mumbai,Maharashtra + 19 more",11 years old,201-500 Employees (India)
3777,Compuage Infocom,3.7,(124 Reviews),Public,"Mumbai,Maharashtra + 29 more",35 years old,501-1k Employees (India)
3778,Stelmec,3.3,(124 Reviews),Public,"Mumbai,Maharashtra + 12 more",38 years old,501-1k Employees (India)
3779,Govt. Medical Co...,4.3,(124 Reviews),Private,Patiala + 33 more,1k-5k Employees (Global),
3780,Hyva,3.4,(124 Reviews),Mumbai + 10 more,43 years old,501-1k Employees (India),
3781,Grab A Grub Serv...,4.3,(124 Reviews),Private,Mumbai + 39 more,9 years old,51-200 Employees (India)
3782,OneAssist Consum...,4.1,(124 Reviews),Private,"Mumbai,Maharashtra + 19 more",11 years old,201-500 Employees (India)
3783,TMEIC,4.0,(124 Reviews),Private,"Salem,VA + 6 more",201-500 Employees (India),
3784,Marksans Pharma,3.5,(124 Reviews),Public,"Mumbai,Maharashtra + 7 more",30 years old,201-500 Employees (India)
3785,Compuage Infocom,3.7,(124 Reviews),Public,"Mumbai,Maharashtra + 29 more",35 years old,501-1k Employees (India)
3786,Stelmec,3.3,(124 Reviews),Public,"Mumbai,Maharashtra + 12 more",38 years old,501-1k Employees (India)
3787,Vipul MedCorp TP...,3.9,(124 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",7 years old,501-1k Employees (Global)
3788,SLMG Beverages,4.0,(124 Reviews),Lucknow + 16 more,201-500 Employees (India),,
3789,Altum Credo Home...,4.4,(124 Reviews),Private,"Pune,Maharashtra + 19 more",6 years old,201-500 Employees (India)
3790,Ikya Human Capit...,4.3,(124 Reviews),Delhi NCR + 44 more,,,
3791,ICRA,3.8,(198 Reviews),Public,"Gurgaon/Gurugram,Haryana + 13 more",31 years old,201-500 Employees (India)
3792,CL Educate,3.9,(123 Reviews),Public,"Delhi/NCR,New Delhi + 22 more",26 years old,501-1k Employees (India)
3793,Asia-Pacific Ins...,4.3,(123 Reviews),Private,"Delhi/NCR,Delhi + 6 more",26 years old,51-200 Employees (India)
3794,Chassis Brakes I...,3.8,(123 Reviews),Private,Amsterdam + 5 more,10 years old,5k-10k Employees (Global)
3795,PaySquare Consul...,4.1,(123 Reviews),Private,"Pune,Maharashtra + 4 more",22 years old,201-500 Employees (India)
3796,Triveni Turbines,4.2,(123 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 9 more",54 years old,501-1k Employees (India)
3797,IB Group,3.8,(123 Reviews),Private,"Rajnandgaon,Chhattisgarh + 24 more",37 years old,1k-5k Employees (India)
3798,Micro Plastics,3.7,(123 Reviews),Harohalli + 6 more,33 years old,201-500 Employees (India),
3799,Galax E Solution...,3.9,(123 Reviews),Private,"Somerset,New Jersey + 3 more",19 years old,501-1k Employees (India)
3800,Unilog Content S...,3.5,(123 Reviews),Private,"Wayne,Pennsylvania + 2 more",24 years old,201-500 Employees (India)
3801,JCT,4.0,(123 Reviews),Public,"Hoshiarpur,Punjab + 10 more",76 years old,1k-5k Employees (India)
3802,Star Hospitals,4.0,(123 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",17 years old,51-200 Employees (India)
3803,Chiripal Industr...,3.8,(123 Reviews),Public,"Ahmedabad,Gujrat + 7 more",50 years old,1k-5k Employees (India)
3804,Enmas O & M Serv...,4.1,(123 Reviews),Private,"Chennai,Tamil Nadu + 14 more",17 years old,1k-5k Employees (India)
3805,Taj Gateway Hote...,4.5,(123 Reviews),Mumbai + 22 more,119 years old,10k-50k Employees (India),
3806,Epsilon Carbon,4.1,(123 Reviews),Private,"Mumbai,Maharashtra + 4 more",12 years old,201-500 Employees (India)
3807,Vihaan Networks,3.9,(123 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",18 years old,501-1k Employees (India)
3808,e-Zest,3.9,(123 Reviews),Public,"Pune,Maharashtra",22 years old,501-1k Employees (India)
3809,Coastal Projects,4.1,(123 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 15 more",27 years old,5k-10k Employees (Global)
3810,Vivimed Labs,4.1,(123 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 11 more",31 years old,501-1k Employees (India)
3811,Kusum Healthcare,4.3,(123 Reviews),Private,"Delhi/NCR,Delhi + 5 more",25 years old,51-200 Employees (India)
3812,Bharathi Cement,4.4,(123 Reviews),Private,Hyderabad + 23 more,23 years old,1k-5k Employees (India)
3813,Sai Service,4.4,(123 Reviews),Private,Pune + 22 more,37 years old,1k-5k Employees (Global)
3814,Axis Sales,4.0,(123 Reviews),Pune + 51 more,16 years old,1k-5k Employees (Global),
3815,Oriental Bank of...,4.3,(123 Reviews),Private,"Gurgaon/Gurugram,Haryana + 33 more",79 years old,501-1k Employees (India)
3816,Midland Microfin,3.8,(123 Reviews),"Jalandhar,Punjab + 40 more",11 years old,1k-5k Employees (India),
3817,Interarch Buildi...,4.1,(123 Reviews),Private,"Noida,Uttar Pradesh + 18 more",38 years old,1k-5k Employees (India)
3818,Moon Beverages,3.9,(123 Reviews),Public,New Delhi + 7 more,35 years old,51-200 Employees (India)
3819,ScoreMe Solution...,5.0,(123 Reviews),Gurgaon/Gurugram + 1 more,51-200 Employees (India),,
3820,Wipro HR Service...,3.5,(123 Reviews),Noida + 7 more,,,
3821,Balaji Enterpris...,4.0,(122 Reviews),Private,"Mumbai,Maharashtra + 40 more",31 years old,11-50 Employees (India)
3822,Hill Internation...,4.1,(122 Reviews),Public,"Philadelphia,Pennsylvania + 14 more",46 years old,201-500 Employees (India)
3823,Aditya Birla Mon...,3.9,(122 Reviews),Public,Mumbai + 32 more,66 years old,201-500 Employees (India)
3824,Amrapali Group,4.4,(122 Reviews),Private,"Noida,Uttar Pradesh + 11 more",19 years old,501-1k Employees (India)
3825,HMT Machine Tool...,4.2,(122 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 14 more",69 years old,51-200 Employees (India)
3826,Trivitron Health...,3.8,(122 Reviews),Private,Chennai + 16 more,25 years old,11-50 Employees (India)
3827,DAEWOO E&C,4.7,(122 Reviews),Public,Seoul + 9 more,49 years old,5k-10k Employees (Global)
3828,SEDER GROUP,4.2,(122 Reviews),Riyadh + 10 more,41 years old,10k-50k Employees (Global),
3829,Southern Petroch...,3.9,(122 Reviews),Public,"Chennai,Tamil Nadu + 6 more",53 years old,1k-5k Employees (India)
3830,Qatargas,4.7,(122 Reviews),Doha + 7 more,38 years old,5k-10k Employees (India),
3831,Milk Mantra Dair...,3.6,(122 Reviews),Private,"Bhubaneswar,Odisha + 9 more",13 years old,201-500 Employees (India)
3832,Abellon Clean En...,3.5,(122 Reviews),Public,"Ahmedabad,Gujrat + 12 more",14 years old,501-1k Employees (India)
3833,Dhampur Sugar Mi...,3.6,(122 Reviews),Public,"Delhi/NCR,New Delhi + 13 more",89 years old,1k-5k Employees (India)
3834,Nahar Industrial...,4.0,(122 Reviews),Public,"Ludhiana,Punjab + 11 more",39 years old,501-1k Employees (India)
3835,Vishvaraj Infras...,4.2,(122 Reviews),"Nagpur,Maharashtra + 22 more",23 years old,201-500 Employees (India),
3836,Essae Digitronic...,4.0,(122 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 23 more",26 years old,51-200 Employees (India)
3837,OEN India,3.8,(122 Reviews),Private,"Kochi/Cochin,Kerala + 9 more",54 years old,51-200 Employees (India)
3838,5paisa Capital,3.4,(122 Reviews),Public,"Thane,Maharashtra + 6 more",6 years old,201-500 Employees (India)
3839,Veeba Food Servi...,4.4,(122 Reviews),Private,Delhi + 18 more,39 years old,201-500 Employees (India)
3840,InnoEye Technolo...,3.3,(122 Reviews),Private,"Indore,Madhya Pradesh",10 years old,501-1k Employees (India)
3841,Vashi Electrical...,4.0,(122 Reviews),Private,"Mumbai,Maharashtra + 15 more",44 years old,501-1k Employees (India)
3842,South Eastern Co...,4.4,(122 Reviews),Private,Bilaspur + 15 more,37 years old,5k-10k Employees (Global)
3843,Falcon Autotech,4.0,(122 Reviews),Private,"Noida,Uttar Pradesh + 7 more",18 years old,51-200 Employees (India)
3844,Deepak Phenolics,4.4,(122 Reviews),Vadodara + 5 more,11 years old,201-500 Employees (India),
3845,75way Technologi...,4.8,(122 Reviews),Private,"Panchkula,Haryana + 1 more",7 years old,51-200 Employees (India)
3846,Majorel,3.7,(122 Reviews),Luxembourg + 4 more,3 years old,201-500 Employees (India),
3847,DealShare,3.4,(122 Reviews),"Jaipur,Rajasthan + 26 more",4 years old,201-500 Employees (India),
3848,Helloverify,3.9,(122 Reviews),"Noida,Uttar Pradesh + 4 more",10 years old,201-500 Employees (India),
3849,RAKS Pharma,3.5,(122 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 5 more",14 years old,201-500 Employees (India)
3850,JBF Industries,4.2,(173 Reviews),Public,"Mumbai,Maharashtra + 5 more",40 years old,201-500 Employees (India)
3851,UGC Supply Chain...,3.7,(121 Reviews),Private,"Pune,Maharashtra + 13 more",23 years old,201-500 Employees (India)
3852,Government of We...,3.6,(121 Reviews),Private,Howrah + 15 more,75 years old,1 Lakh+ Employees (Global)
3853,Population Servi...,4.1,(121 Reviews),Private,Washington D.C + 32 more,52 years old,5k-10k Employees (Global)
3854,Aspiring Minds,3.7,(121 Reviews),Private,"San Jose,California + 10 more",14 years old,201-500 Employees (India)
3855,Indian Council o...,4.0,(121 Reviews),Private,New Delhi + 32 more,93 years old,501-1k Employees (India)
3856,CG Foods,3.8,(121 Reviews),Private,Lalitpur + 18 more,38 years old,1k-5k Employees (India)
3857,Inspira Enterpri...,4.0,(121 Reviews),Private,"Mumbai,Maharashtra + 19 more",14 years old,201-500 Employees (India)
3858,Saregama India,3.4,(121 Reviews),Public,"Kolkata,West Bengal + 27 more",121 years old,201-500 Employees (India)
3859,Rashtriya Chemic...,4.4,(121 Reviews),Private,"Mumbai,Maharashtra + 13 more",55 years old,1k-5k Employees (India)
3860,Wirtgen India,4.1,(121 Reviews),Private,"Pune,Maharashtra + 19 more",61 years old,201-500 Employees (India)
3861,Galpha Laborator...,3.8,(121 Reviews),Mumbai + 17 more,36 years old,501-1k Employees (India),
3862,Autocomp Corpora...,3.5,(121 Reviews),Private,"Pune,Maharashtra + 4 more",39 years old,51-200 Employees (India)
3863,GS Lab,4.4,(121 Reviews),Private,Pune,19 years old,1k-5k Employees (India)
3864,Holisol Logistic...,4.0,(121 Reviews),Private,"Delhi,NCT + 29 more",13 years old,1k-5k Employees (India)
3865,SAI Consulting E...,4.3,(121 Reviews),Private,Ahmedabad + 23 more,39 years old,501-1k Employees (India)
3866,Elcamino Softwar...,3.1,(121 Reviews),Private,Gurugram + 1 more,12 years old,201-500 Employees (Global)
3867,Dr Mohan's Diabe...,4.0,(121 Reviews),"Chennai,Tamil Nadu + 22 more",31 years old,1k-5k Employees (India),
3868,Europa Locks,3.5,(121 Reviews),Private,"Pune,Maharashtra + 13 more",38 years old,51-200 Employees (India)
3869,Ganges Internati...,3.5,(121 Reviews),Private,"Delhi/NCR,Delhi + 7 more",31 years old,1k-5k Employees (India)
3870,Dr Mohan's Diabe...,4.0,(121 Reviews),"Chennai,Tamil Nadu + 22 more",31 years old,1k-5k Employees (India),
3871,Europa Locks,3.5,(121 Reviews),Private,"Pune,Maharashtra + 13 more",38 years old,51-200 Employees (India)
3872,MAN Energy Solut...,3.7,(121 Reviews),Augsburg + 6 more,12 years old,201-500 Employees (India),
3873,Zetwerk Manufact...,4.1,(121 Reviews),"Bangalore,Karnataka + 18 more",4 years old,501-1k Employees (India),
3874,Aditya Birla Mem...,4.1,(120 Reviews),Private,Pune + 2 more,19 years old,1k-5k Employees (Global)
3875,Don Bosco Tech S...,4.3,(120 Reviews),Private,New Delhi + 39 more,16 years old,501-1k Employees (Global)
3876,Xrbia Developers,3.2,(120 Reviews),Private,"Pune,Maharashtra + 6 more",10 years old,201-500 Employees (India)
3877,Varmora Granito,4.4,(120 Reviews),Private,"Mumbai,Maharashtra + 35 more",29 years old,51-200 Employees (India)
3878,Organic India,4.2,(120 Reviews),Private,"Delhi/NCR,Delhi + 27 more",25 years old,201-500 Employees (India)
3879,Advaith Motors,4.3,(120 Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",24 years old,501-1k Employees (Global),
3880,Shipco Transport,3.8,(120 Reviews),"Hoboken,New Jersery + 1 more",34 years old,201-500 Employees (India),
3881,Zee Media Corpor...,4.1,(120 Reviews),Public,"Noida,Uttar Pradesh + 12 more",23 years old,1k-5k Employees (India)
3882,SeQuent Scientif...,3.4,(120 Reviews),Public,"Mumbai,Maharashtra + 9 more",37 years old,501-1k Employees (India)
3883,Sun Direct TV,4.4,(120 Reviews),Private,"Chennai,Tamil Nadu + 27 more",15 years old,1k-5k Employees (India)
3884,Jaipur Rugs,3.5,(120 Reviews),Private,"Jaipur,Rajasthan + 7 more",44 years old,201-500 Employees (India)
3885,Teleone,3.6,(120 Reviews),Private,"Delhi/NCR,Delhi + 16 more",24 years old,51-200 Employees (India)
3886,Volvo Trucks,4.3,(120 Reviews),Private,Gothenburg + 22 more,94 years old,1k-5k Employees (India)
3887,JMR Infotech,4.2,(120 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",15 years old,201-500 Employees (India)
3888,Clarks Inn Group...,4.0,(120 Reviews),"Noida,Uttar Pradesh + 32 more",16 years old,10k-50k Employees (Global),
3889,ICICI Merchant S...,4.1,(120 Reviews),Mumbai + 40 more,13 years old,201-500 Employees (India),
3890,Pacific India,3.5,(120 Reviews),Private,New Delhi + 19 more,26 years old,1k-5k Employees (Global)
3891,Nova IVI Fertili...,4.0,(120 Reviews),Private,"Bangalore,Karnataka + 19 more",11 years old,501-1k Employees (India)
3892,Minda Sai,3.6,(120 Reviews),Public,Greater Noida + 13 more,19 years old,201-500 Employees (India)
3893,Super Auto India,3.3,(120 Reviews),Private,"Faridabad,Haryana + 4 more",54 years old,11-50 Employees (India)
3894,Marine Electrica...,3.7,(120 Reviews),Private,"Mumbai,Maharashtra + 11 more",44 years old,201-500 Employees (India)
3895,Spectranet,4.1,(120 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",22 years old,501-1k Employees (India)
3896,ILJIN AUTOMOTIVE,3.8,(120 Reviews),Seoul + 6 more,49 years old,,
3897,Olympus,4.2,(120 Reviews),Private,"Tokyo,Tokyo-to + 13 more",12 years old,201-500 Employees (India)
3898,Blue Cross Labor...,3.9,(120 Reviews),"Mumbai,Maharashtra + 23 more",42 years old,1k-5k Employees (India),
3899,Sadara Chemical ...,4.6,(120 Reviews),JV,"Jubail,Eastern Province + 3 more",11 years old,201-500 Employees (India)
3900,Toyota Material ...,3.9,(120 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",66 years old,201-500 Employees (India)
3901,Jitm Skills,3.5,(120 Reviews),"Delhi/NCR,Delhi + 25 more",9 years old,51-200 Employees (India),
3902,India Yamaha Mot...,3.6,(120 Reviews),Chennai + 12 more,1k-5k Employees (Global),,
3903,BIC Cello,4.1,(120 Reviews),"Mumbai,Maharashtra + 18 more",64 years old,1k-5k Employees (India),
3904,Kanpur Fertilize...,4.2,(120 Reviews),Private,Kanpur + 9 more,12 years old,501-1k Employees (Global)
3905,SAP-Concur,4.2,(120 Reviews),Private,"Bellevue,Washington State + 1 more",29 years old,10k-50k Employees (India)
3906,First Abu Dhabi ...,2.8,(120 Reviews),"Abu Dhabi,Abu Dhabi + 5 more",5 years old,201-500 Employees (India),
3907,Starbucks,4.2,(120 Reviews),"Seattle,Washington + 15 more",51 years old,1k-5k Employees (India),
3908,IL&FS Skills Dev...,3.8,(120 Reviews),Mumbai + 41 more,11 years old,10k-50k Employees (Global),
3909,Accurate Enginee...,3.3,(120 Reviews),"Pune,Maharashtra + 14 more",59 years old,51-200 Employees (India),
